epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,3089.22,0.81949,1.38694,1.50553,1.01718,0.3199,0.19657,0.15871,0.11456,0.32345,0.19769,0.16053,0.10862,0.90096,1.75884,2.36107,1.13635,0.0078022,0.0078022,0.0078022
113,3115.62,0.82788,1.37459,1.47306,1.02485,0.29748,0.1905,0.16007,0.11759,0.2982,0.19137,0.16091,0.1122,0.89696,1.76523,2.42408,1.13676,0.0077824,0.0077824,0.0077824
114,3142.06,0.8148,1.3496,1.47026,1.02371,0.30484,0.19689,0.16053,0.11656,0.32151,0.19511,0.1623,0.11007,0.91105,1.80106,2.37907,1.14626,0.0077626,0.0077626,0.0077626
115,3168.24,0.82325,1.35645,1.44885,1.01981,0.31078,0.19704,0.16332,0.1171,0.30384,0.20791,0.16522,0.11108,0.89806,1.77274,2.34461,1.14129,0.0077428,0.0077428,0.0077428
116,3194.82,0.83243,1.37291,1.44131,1.0209,0.29876,0.19474,0.15899,0.11604,0.29949,0.1964,0.16014,0.10907,0.89767,1.80538,2.45254,1.13628,0.007723,0.007723,0.007723
117,3220.89,0.81928,1.35417,1.42168,1.01759,0.30661,0.19929,0.15772,0.11356,0.3325,0.19733,0.16063,0.10791,0.91233,1.81177,2.45743,1.15204,0.0077032,0.0077032,0.0077032
118,3246.94,0.84134,1.37186,1.44608,1.02579,0.32671,0.19941,0.15629,0.11259,0.32844,0.20084,0.15807,0.10655,0.92171,1.79321,2.48748,1.15801,0.0076834,0.0076834,0.0076834
119,3273.41,0.83938,1.37752,1.44245,1.02632,0.30373,0.20571,0.16336,0.11779,0.30368,0.20929,0.16576,0.11185,0.91163,1.77902,2.44819,1.14848,0.0076636,0.0076636,0.0076636
120,3299.28,0.82371,1.35696,1.44629,1.02274,0.31433,0.21233,0.16866,0.1234,0.32651,0.21111,0.17033,0.11676,0.89491,1.7776,2.38393,1.13158,0.0076438,0.0076438,0.0076438
121,3325.56,0.83544,1.3664,1.4469,1.02077,0.31814,0.1947,0.16059,0.1172,0.33039,0.19215,0.16245,0.11105,0.90551,1.77475,2.4175,1.14014,0.007624,0.007624,0.007624
122,3351.65,0.82179,1.32863,1.43726,1.01659,0.32169,0.19814,0.16219,0.1192,0.32817,0.19545,0.16383,0.11275,0.89249,1.76843,2.38823,1.13406,0.0076042,0.0076042,0.0076042
123,3377.93,0.83263,1.36469,1.45475,1.02259,0.32135,0.20238,0.16137,0.11726,0.32919,0.20028,0.16308,0.11033,0.89813,1.79236,2.36992,1.14093,0.0075844,0.0075844,0.0075844
124,3404.23,0.82559,1.34812,1.41708,1.02278,0.31955,0.21186,0.16385,0.11808,0.32401,0.20868,0.16521,0.11176,0.89373,1.80537,2.3659,1.13585,0.0075646,0.0075646,0.0075646
